Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2014-02-25 19:08:27.879 +0000,"Failure",0:00:00,1,0,0,"20140225_190827.879/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'isrunning'",0
2014-02-25 19:09:09.470 +0000,"Failure",0:00:00,1,0,0,"20140225_190909.470/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'isrunning'",0
2014-02-25 19:09:45.528 +0000,"Success",0:00:05,0,0,0,"20140225_190945.528/LogFile.txt","","",1
2014-02-25 19:10:57.533 +0000,"Success",0:00:12,0,0,0,"20140225_191057.533/LogFile.txt","","",1
2014-02-25 19:13:24.901 +0000,"Success",0:00:05,0,0,0,"20140225_191324.901/LogFile.txt","","",1
2014-02-25 19:19:11.232 +0000,"Success",0:00:05,0,0,0,"20140225_191911.232/LogFile.txt","","",1
2014-02-25 19:20:14.620 +0000,"Success",0:00:05,0,0,0,"20140225_192014.620/LogFile.txt","","",1
2014-02-25 19:36:44.337 +0000,"Failure",0:00:05,1,0,1,"20140225_193644.337/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: 8",0
2014-02-25 19:38:12.480 +0000,"Running",0:00:00,,,,"20140225_193812.480/LogFile.txt","","",
2014-02-25 19:39:59.374 +0000,"Success",0:02:21,0,0,0,"20140225_193959.374/LogFile.txt","","",1
2014-02-25 19:43:25.388 +0000,"Success",0:00:16,0,0,0,"20140225_194325.388/LogFile.txt","","",1
2014-02-25 19:44:23.430 +0000,"Success",0:00:10,0,0,0,"20140225_194423.430/LogFile.txt","","",1
2014-02-25 19:50:11.036 +0000,"Success",0:00:12,0,0,0,"20140225_195011.036/LogFile.txt","","",1
2014-02-25 20:43:45.551 +0000,"Running",0:00:00,,,,"20140225_204345.551/LogFile.txt","","",
2014-02-25 21:21:07.392 +0000,"Success",0:00:00,0,0,0,"20140225_212107.392/LogFile.txt","","",1
2014-02-25 21:21:48.083 +0000,"Failure",0:00:36,1,0,0,"20140225_212148.083/LogFile.txt","","SenseTalk Compiler Exception -- in testciwiuninstall:\nWarning at line 16: Warning - Non-matching handler name: testCiwiInstall",0
2014-02-25 21:37:08.530 +0000,"Failure",0:00:00,1,0,1,"20140225_213708.530/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2014-02-25 21:38:09.566 +0000,"Failure",0:00:00,1,0,1,"20140225_213809.566/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2014-02-25 21:41:27.774 +0000,"Success",0:00:55,0,0,0,"20140225_214127.774/LogFile.txt","","",1
2014-02-25 21:43:24.456 +0000,"Success",0:00:56,0,0,0,"20140225_214324.456/LogFile.txt","","",1
2014-02-25 21:53:57.385 +0000,"Success",0:00:58,0,0,0,"20140225_215357.385/LogFile.txt","","",1
2014-02-25 21:55:17.548 +0000,"Failure",0:00:35,1,0,1,"20140225_215517.548/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""CiwiTransactionSubmittedDialog"" within 8.00 seconds",0
2014-02-25 21:56:52.425 +0000,"Failure",0:00:10,1,0,1,"20140225_215652.425/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CiwiLogin""",0
2014-02-25 22:06:42.510 +0000,"Success",0:00:58,0,0,0,"20140225_220642.510/LogFile.txt","","",1
2014-02-25 22:08:02.415 +0000,"Failure",0:00:36,1,0,1,"20140225_220802.415/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""CiwiTransactionSubmittedDialog"" within 8.00 seconds",0
2014-02-25 22:09:42.668 +0000,"Failure",0:00:11,1,0,1,"20140225_220942.668/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CiwiLogin""",0
2014-02-25 22:11:17.359 +0000,"Success",0:00:55,0,0,0,"20140225_221117.359/LogFile.txt","","",1
2014-02-25 22:12:37.376 +0000,"Failure",0:00:35,1,0,1,"20140225_221237.376/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""CiwiTransactionSubmittedDialog"" within 8.00 seconds",0
2014-02-25 22:25:22.255 +0000,"Success",0:00:56,0,0,0,"20140225_222522.255/LogFile.txt","","",1
2014-02-25 22:26:42.384 +0000,"Failure",0:00:36,1,0,0,"20140225_222642.384/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2014-02-25 22:27:57.358 +0000,"Failure",0:00:08,1,0,1,"20140225_222757.358/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CiwiLogin""",0
2014-02-25 22:31:17.403 +0000,"Failure",0:00:35,1,0,0,"20140225_223117.403/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2014-02-25 22:32:37.365 +0000,"Success",0:00:55,0,0,0,"20140225_223237.365/LogFile.txt","","",1
2014-02-25 22:33:52.436 +0000,"Failure",0:00:35,1,0,0,"20140225_223352.436/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2014-02-25 22:35:12.526 +0000,"Success",0:00:53,0,0,0,"20140225_223512.526/LogFile.txt","","",1
2014-02-25 22:36:27.569 +0000,"Failure",0:00:37,1,0,0,"20140225_223627.569/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
